sourceLessonId,url,conceptId,queryFamily,currentH1,proposedH1,seoTitle,classification,rationale
P14.4,/subjects/math/precalculus/sequences-series-and-discrete-models/geometric-sequences/,concept.math.derive-and-use-a-n-a-1r-n-1-and-connect-geometric-sequences-to-sampled-exponential-functions,geometric sequences,Geometric sequences,Geometric sequences,Geometric sequences | Better Grades,KEEP_STRONG,Reviewed: title already names a specific searchable mathematical lesson.
P14.5,/subjects/math/precalculus/sequences-series-and-discrete-models/recurrence-iteration-and-discrete-dynamical-models/,concept.math.analyze-repeated-function-application-fixed-points-cycles-and-qualitative-long-run-behavior,"recurrence, iteration, and discrete dynamical models","Recurrence, iteration, and discrete dynamical models","Recurrence, iteration, and discrete dynamical models","Recurrence, iteration, and discrete dynamical models | Better Grades",KEEP_STRONG,Reviewed: title already names a specific searchable mathematical lesson.
P14.6,/subjects/math/precalculus/sequences-series-and-discrete-models/sigma-notation-and-finite-sums/,concept.math.interpret-summation-notation-index-bounds-summands-and-term-counts,sigma notation and finite sums,Sigma notation and finite sums,Sigma notation and finite sums,Sigma notation and finite sums | Better Grades,KEEP_STRONG,Reviewed: title already names a specific searchable mathematical lesson.
P14.7,/subjects/math/precalculus/sequences-series-and-discrete-models/arithmetic-series/,concept.math.derive-and-use-s-n-n-a-1-a-n-2,arithmetic series,Arithmetic series,Arithmetic series,Arithmetic series | Better Grades,KEEP_STRONG,Reviewed: title already names a specific searchable mathematical lesson.
P14.8,/subjects/math/precalculus/sequences-series-and-discrete-models/finite-geometric-series/,concept.math.derive-and-use-s-n-a-1-1-r-n-1-r,finite geometric series,Finite geometric series,Finite geometric series,Finite geometric series | Better Grades,KEEP_STRONG,Reviewed: title already names a specific searchable mathematical lesson.
P14.9,/subjects/math/precalculus/sequences-series-and-discrete-models/infinite-geometric-series-and-convergence/,concept.math.determine-convergence-and-evaluate-infinite-geometric-sums-when-r-1,infinite geometric series,Infinite geometric series and convergence,Infinite geometric series and convergence,Infinite geometric series and convergence | Better Grades,KEEP_STRONG,Reviewed: title already names a specific searchable mathematical lesson.
P14.10,/subjects/math/precalculus/sequences-series-and-discrete-models/mathematical-induction/,concept.math.prove-statements-for-all-integers-in-a-domain-using-base-case-and-inductive-step,mathematical induction,Mathematical induction,Mathematical induction,Mathematical induction | Better Grades,KEEP_STRONG,Reviewed: title already names a specific searchable mathematical lesson.
P14.11,/subjects/math/precalculus/sequences-series-and-discrete-models/pascals-triangle-and-binomial-coefficients/,concept.math.connect-combinations-recursive-construction-symmetry-and-polynomial-coefficients,pascal's triangle and binomial coefficients,Pascal's triangle and binomial coefficients,Pascal's triangle and binomial coefficients,Pascal's triangle and binomial coefficients | Better Grades,KEEP_STRONG,Reviewed: title already names a specific searchable mathematical lesson.
P14.12,/subjects/math/precalculus/sequences-series-and-discrete-models/the-binomial-theorem-and-discrete-model-synthesis/,concept.math.expand-binomial-powers-and-compare-arithmetic-geometric-recursive-and-accumulated-models,the binomial theorem and discrete-model synthesis,The binomial theorem and discrete-model synthesis,The binomial theorem and discrete-model synthesis,The binomial theorem and discrete-model synthesis | Better Grades,KEEP_STRONG,Reviewed: title already names a specific searchable mathematical lesson.
P15.1,/subjects/math/precalculus/calculus-readiness-and-function-synthesis/function-family-classification/,concept.math.classify-unfamiliar-formulas-graphs-tables-and-contexts-using-structural-evidence,classifying function families for calculus readiness,Function-family classification,Classifying Function Families for Calculus Readiness,Classifying Function Families for Calculus Readiness | Better Grades,CROSS_COURSE_DIFFERENTIATION,Rendered title explicitly limits the page to Precalculus/readiness intent so Calculus retains formal ownership.
P15.2,/subjects/math/precalculus/calculus-readiness-and-function-synthesis/model-selection-and-comparison/,concept.math.select-and-compare-function-models-using-patterns-residuals-domains-and-parameter-meanings,model selection and comparison,Model selection and comparison,Model selection and comparison,Model selection and comparison | Better Grades,KEEP_STRONG,Reviewed: title already names a specific searchable mathematical lesson.
P15.3,/subjects/math/precalculus/calculus-readiness-and-function-synthesis/average-rate-of-change-revisited/,concept.math.compare-average-rates-across-function-families-and-interpret-units-and-interval-dependence,average rate of change revisited,Average rate of change revisited,Average rate of change revisited,Average rate of change revisited | Better Grades,KEEP_STRONG,Reviewed: title already names a specific searchable mathematical lesson.
P15.4,/subjects/math/precalculus/calculus-readiness-and-function-synthesis/difference-quotients/,concept.math.construct-and-simplify-f-x-h-f-x-h-and-interpret-its-components,difference quotients for calculus readiness,Difference quotients,Difference Quotients for Calculus Readiness,Difference Quotients for Calculus Readiness | Better Grades,CROSS_COURSE_DIFFERENTIATION,Rendered title explicitly limits the page to Precalculus/readiness intent so Calculus retains formal ownership.
P15.5,/subjects/math/precalculus/calculus-readiness-and-function-synthesis/secant-lines-and-tangent-intuition/,concept.math.interpret-tangent-slope-as-a-limiting-value-of-secant-slopes,secant lines and tangent intuition,Secant lines and tangent intuition,Secant lines and tangent intuition,Secant lines and tangent intuition | Better Grades,KEEP_STRONG,Reviewed: title already names a specific searchable mathematical lesson.
P15.6,/subjects/math/precalculus/calculus-readiness-and-function-synthesis/local-linearity-and-magnification/,concept.math.recognize-when-a-smooth-graph-appears-linear-under-magnification-and-identify-failures-of-local-linearity,local linearity and magnification before calculus,Local linearity and magnification,Local Linearity and Magnification Before Calculus,Local Linearity and Magnification Before Calculus | Better Grades,CROSS_COURSE_DIFFERENTIATION,Rendered title explicitly limits the page to Precalculus/readiness intent so Calculus retains formal ownership.
P15.7,/subjects/math/precalculus/calculus-readiness-and-function-synthesis/intuitive-limits/,concept.math.estimate-limits-from-tables-graphs-and-algebra-while-distinguishing-approached-value-from-function-value,introduction to limits before calculus,Intuitive limits,Introduction to Limits Before Calculus,Introduction to Limits Before Calculus | Better Grades,CROSS_COURSE_DIFFERENTIATION,Rendered title explicitly limits the page to Precalculus/readiness intent so Calculus retains formal ownership.
P15.8,/subjects/math/precalculus/calculus-readiness-and-function-synthesis/continuity-and-discontinuity/,concept.math.classify-removable-jump-infinite-and-endpoint-discontinuities-using-function-values-and-limiting-behavior,continuity preview for precalculus,Continuity and discontinuity,Continuity Preview for Precalculus,Continuity Preview for Precalculus | Better Grades,CROSS_COURSE_DIFFERENTIATION,Rendered title explicitly limits the page to Precalculus/readiness intent so Calculus retains formal ownership.
P15.9,/subjects/math/precalculus/calculus-readiness-and-function-synthesis/infinite-behavior-and-asymptotes/,concept.math.synthesize-finite-and-infinite-input-behavior-across-polynomial-rational-exponential-logarithmic-and-trigonometric-families,asymptotes and infinite behavior: a precalculus review,Infinite behavior and asymptotes,Asymptotes and Infinite Behavior: A Precalculus Review,Asymptotes and Infinite Behavior: A Precalculus Review | Better Grades,CROSS_COURSE_DIFFERENTIATION,Rendered title explicitly limits the page to Precalculus/readiness intent so Calculus retains formal ownership.
P15.10,/subjects/math/precalculus/calculus-readiness-and-function-synthesis/numerical-approximation-and-sensitivity/,concept.math.use-bracketing-iteration-finite-differences-and-residuals-while-evaluating-sensitivity-to-rounding-and-parameter-error,numerical approximation and sensitivity,Numerical approximation and sensitivity,Numerical approximation and sensitivity,Numerical approximation and sensitivity | Better Grades,KEEP_STRONG,Reviewed: title already names a specific searchable mathematical lesson.
P15.11,/subjects/math/precalculus/calculus-readiness-and-function-synthesis/accumulation-finite-sums-and-area-preview/,concept.math.connect-rates-rectangles-finite-sums-net-change-and-area-under-a-rate-graph,"riemann sums preview: accumulation, finite sums, and area","Accumulation, finite sums, and area preview","Riemann Sums Preview: Accumulation, Finite Sums, and Area","Riemann Sums Preview: Accumulation, Finite Sums, and Area | Better Grades",CROSS_COURSE_DIFFERENTIATION,Rendered title explicitly limits the page to Precalculus/readiness intent so Calculus retains formal ownership.
P15.12,/subjects/math/precalculus/calculus-readiness-and-function-synthesis/precalculus-synthesis-capstone/,concept.math.analyze-an-unfamiliar-multirepresentation-problem-by-selecting-and-combining-methods-from-the-entire-course,precalculus synthesis capstone,Precalculus synthesis capstone,Precalculus synthesis capstone,Precalculus synthesis capstone | Better Grades,KEEP_STRONG,Reviewed: title already names a specific searchable mathematical lesson.
