exercise_id,lesson_id,unit,sequence,prompt,answer
P4.11-E08,P4.11,P4,8,Explain how the result should be checked in another representation.,"Translate the answer into a graph, table, interval, mapping, equation, or context and verify that the same inputs, outputs, and restrictions appear."
P4.11-E09,P4.11,P4,9,Write one exact conclusion and one corresponding approximate conclusion.,"Keep the symbolic form exact, then report a rounded value with its stated precision only when numerical comparison is needed."
P4.11-E10,P4.11,P4,10,State how this lesson connects forward.,"The next lesson, Complex zeros and the Fundamental Theorem of Algebra, uses this result as part of a larger structure."
P4.12-E01,P4.12,P4,1,Zeros count degree 7.,7.
P4.12-E02,P4.12,P4,2,Conjugate of 4+3i.,4-3i.
P4.12-E03,P4.12,P4,3,Factor for zeros ±2i.,x^2+4.
P4.12-E04,P4.12,P4,4,Can nonreal roots repeat?,Yes.
P4.12-E05,P4.12,P4,5,State the defining idea of complex zeros and the fundamental theorem of algebra in one precise sentence.,A degree-n polynomial has n complex zeros counted with multiplicity.
P4.12-E06,P4.12,P4,6,State the condition that must be checked before using the method.,Nonreal zeros do not appear as real intercepts but are required for complete factorization.
P4.12-E07,P4.12,P4,7,Describe the first invalid step in the common error.,A frequent error is allowing one isolated nonreal root in a real-coefficient polynomial.
P4.12-E08,P4.12,P4,8,Explain how the result should be checked in another representation.,"Translate the answer into a graph, table, interval, mapping, equation, or context and verify that the same inputs, outputs, and restrictions appear."
P4.12-E09,P4.12,P4,9,Write one exact conclusion and one corresponding approximate conclusion.,"Keep the symbolic form exact, then report a rounded value with its stated precision only when numerical comparison is needed."
P4.12-E10,P4.12,P4,10,State how this lesson connects forward.,"The next lesson, Building polynomial models and finding numerical roots, uses this result as part of a larger structure."
P4.13-E01,P4.13,P4,1,"Monic roots 1,2,3.",(x-1)(x-2)(x-3).
P4.13-E02,P4.13,P4,2,Real roots 2 and 1±i.,(x-2)(x^2-2x+2).
P4.13-E03,P4.13,P4,3,Why keep factored form?,Preserves zeros and multiplicities.
P4.13-E04,P4.13,P4,4,Why can bisection miss even root?,No sign change.
P4.13-E05,P4.13,P4,5,State the defining idea of building polynomial models and finding numerical roots in one precise sentence.,"A polynomial model can be built from zeros, multiplicities, end behavior, and one scale-setting condition."
P4.13-E06,P4.13,P4,6,State the condition that must be checked before using the method.,A sign-change search can miss even-multiplicity roots.
P4.13-E07,P4.13,P4,7,Describe the first invalid step in the common error.,A frequent error is expanding before the zero structure has been verified.
P4.13-E08,P4.13,P4,8,Explain how the result should be checked in another representation.,"Translate the answer into a graph, table, interval, mapping, equation, or context and verify that the same inputs, outputs, and restrictions appear."
P4.13-E09,P4.13,P4,9,Write one exact conclusion and one corresponding approximate conclusion.,"Keep the symbolic form exact, then report a rounded value with its stated precision only when numerical comparison is needed."
P4.13-E10,P4.13,P4,10,State how this lesson connects forward.,"The next lesson, Rational functions and their domains, uses this result as part of a larger structure."
P5.1-E01,P5.1,P5,1,Domain of 1/(x+5).,x≠-5.
P5.1-E02,P5.1,P5,2,Domain of (x-2)/(x^2-9).,x≠±3.
P5.1-E03,P5.1,P5,3,Do numerator zeros restrict domain?,No.
P5.1-E04,P5.1,P5,4,Can rational function have all-real domain?,Yes.
P5.1-E05,P5.1,P5,5,State the defining idea of rational functions and their domains in one precise sentence.,A rational function P/Q excludes every real input where the original denominator Q is zero.
P5.1-E06,P5.1,P5,6,State the condition that must be checked before using the method.,A rational function can have all-real domain when its denominator has no real zero.
P5.1-E07,P5.1,P5,7,Describe the first invalid step in the common error.,A frequent error is simplifying before recording the original exclusions.
P5.1-E08,P5.1,P5,8,Explain how the result should be checked in another representation.,"Translate the answer into a graph, table, interval, mapping, equation, or context and verify that the same inputs, outputs, and restrictions appear."
P5.1-E09,P5.1,P5,9,Write one exact conclusion and one corresponding approximate conclusion.,"Keep the symbolic form exact, then report a rounded value with its stated precision only when numerical comparison is needed."
P5.1-E10,P5.1,P5,10,State how this lesson connects forward.,"The next lesson, Equivalent formulas, different functions, and holes, uses this result as part of a larger structure."
P5.2-E01,P5.2,P5,1,Hole of (x^2-1)/(x-1).,"(1,2)."
P5.2-E02,P5.2,P5,2,Hole of (x^2+3x+2)/(x+1).,"(-1,1)."
P5.2-E03,P5.2,P5,3,Can a function have two holes?,Yes.
P5.2-E04,P5.2,P5,4,What sets hole y-value?,Simplified formula at excluded x.
P5.2-E05,P5.2,P5,5,"State the defining idea of equivalent formulas, different functions, and holes in one precise sentence.",A common factor creates a removable discontinuity: the original function follows the simplified curve but omits one point.
P5.2-E06,P5.2,P5,6,State the condition that must be checked before using the method.,Two formulas define the same function only when both domains and values match.
P5.2-E07,P5.2,P5,7,Describe the first invalid step in the common error.,A frequent error is filling the hole because the simplified formula has a value there.
P5.2-E08,P5.2,P5,8,Explain how the result should be checked in another representation.,"Translate the answer into a graph, table, interval, mapping, equation, or context and verify that the same inputs, outputs, and restrictions appear."
P5.2-E09,P5.2,P5,9,Write one exact conclusion and one corresponding approximate conclusion.,"Keep the symbolic form exact, then report a rounded value with its stated precision only when numerical comparison is needed."
P5.2-E10,P5.2,P5,10,State how this lesson connects forward.,"The next lesson, Vertical asymptotes and local behavior, uses this result as part of a larger structure."
P5.3-E01,P5.3,P5,1,VA of 3/(x-5).,x=5.
P5.3-E02,P5.3,P5,2,VAs of 1/(x^2-9).,x=±3.
P5.3-E03,P5.3,P5,3,Does fully cancelled zero create VA?,No.
P5.3-E04,P5.3,P5,4,Can graph include asymptote x-value?,No.
P5.3-E05,P5.3,P5,5,State the defining idea of vertical asymptotes and local behavior in one precise sentence.,An uncancelled denominator zero often creates a vertical asymptote with unbounded one-sided behavior.
P5.3-E06,P5.3,P5,6,State the condition that must be checked before using the method.,Odd denominator multiplicity changes sign; even multiplicity preserves sign.
P5.3-E07,P5.3,P5,7,Describe the first invalid step in the common error.,A frequent error is treating an asymptote as a function point or assuming both sides behave alike.
P5.3-E08,P5.3,P5,8,Explain how the result should be checked in another representation.,"Translate the answer into a graph, table, interval, mapping, equation, or context and verify that the same inputs, outputs, and restrictions appear."
P5.3-E09,P5.3,P5,9,Write one exact conclusion and one corresponding approximate conclusion.,"Keep the symbolic form exact, then report a rounded value with its stated precision only when numerical comparison is needed."
P5.3-E10,P5.3,P5,10,State how this lesson connects forward.,"The next lesson, Horizontal asymptotes and end behavior, uses this result as part of a larger structure."
P5.4-E01,P5.4,P5,1,HA of 1/(x+2).,y=0.
P5.4-E02,P5.4,P5,2,HA of (3x^2+1)/(x^2-4).,y=3.
P5.4-E03,P5.4,P5,3,Does (x^3+1)/(x^2+1) have HA?,No.
P5.4-E04,P5.4,P5,4,How test whether HA level occurs?,Solve R(x)=L.
P5.4-E05,P5.4,P5,5,State the defining idea of horizontal asymptotes and end behavior in one precise sentence.,Horizontal asymptotes describe rational end behavior through leading-degree comparison.
P5.4-E06,P5.4,P5,6,State the condition that must be checked before using the method.,Horizontal asymptotes can be crossed at finite inputs.
P5.4-E07,P5.4,P5,7,Describe the first invalid step in the common error.,A frequent error is applying the equal-degree ratio to unequal degrees.
P5.4-E08,P5.4,P5,8,Explain how the result should be checked in another representation.,"Translate the answer into a graph, table, interval, mapping, equation, or context and verify that the same inputs, outputs, and restrictions appear."
P5.4-E09,P5.4,P5,9,Write one exact conclusion and one corresponding approximate conclusion.,"Keep the symbolic form exact, then report a rounded value with its stated precision only when numerical comparison is needed."
P5.4-E10,P5.4,P5,10,State how this lesson connects forward.,"The next lesson, Slant and polynomial asymptotes, uses this result as part of a larger structure."
P5.5-E01,P5.5,P5,1,Slant of (x^2+x+1)/x.,y=x+1.
P5.5-E02,P5.5,P5,2,Polynomial asymptote of (x^3+1)/x.,y=x^2.
P5.5-E03,P5.5,P5,3,When slant occurs.,Degree difference 1.
P5.5-E04,P5.5,P5,4,Can graph cross it?,"Yes, if remainder is zero at an allowed input."
P5.5-E05,P5.5,P5,5,State the defining idea of slant and polynomial asymptotes in one precise sentence.,Polynomial division reveals a nonhorizontal asymptote when a rational numerator has higher degree.
P5.5-E06,P5.5,P5,6,State the condition that must be checked before using the method.,Degree difference one gives a slant line; larger differences can give higher-degree asymptotes.
P5.5-E07,P5.5,P5,7,Describe the first invalid step in the common error.,A frequent error is claiming the rational function equals the quotient everywhere.
P5.5-E08,P5.5,P5,8,Explain how the result should be checked in another representation.,"Translate the answer into a graph, table, interval, mapping, equation, or context and verify that the same inputs, outputs, and restrictions appear."
P5.5-E09,P5.5,P5,9,Write one exact conclusion and one corresponding approximate conclusion.,"Keep the symbolic form exact, then report a rounded value with its stated precision only when numerical comparison is needed."
P5.5-E10,P5.5,P5,10,State how this lesson connects forward.,"The next lesson, Intercepts and sign charts, uses this result as part of a larger structure."
P5.6-E01,P5.6,P5,1,X-intercept of (x-5)/(x+1).,"(5,0)."
P5.6-E02,P5.6,P5,2,Y-intercept.,"(0,-5)."
P5.6-E03,P5.6,P5,3,Critical values of x/[(x-2)(x+4)].,"-4,0,2."
P5.6-E04,P5.6,P5,4,Can a hole be intercept?,No.
P5.6-E05,P5.6,P5,5,State the defining idea of intercepts and sign charts in one precise sentence.,A rational function has constant sign between numerator zeros and denominator zeros.
P5.6-E06,P5.6,P5,6,State the condition that must be checked before using the method.,Even multiplicity preserves sign; odd multiplicity changes sign.
P5.6-E07,P5.6,P5,7,Describe the first invalid step in the common error.,A frequent error is counting a cancelled numerator zero as an intercept.
P5.6-E08,P5.6,P5,8,Explain how the result should be checked in another representation.,"Translate the answer into a graph, table, interval, mapping, equation, or context and verify that the same inputs, outputs, and restrictions appear."
P5.6-E09,P5.6,P5,9,Write one exact conclusion and one corresponding approximate conclusion.,"Keep the symbolic form exact, then report a rounded value with its stated precision only when numerical comparison is needed."
P5.6-E10,P5.6,P5,10,State how this lesson connects forward.,"The next lesson, Complete rational graph construction, uses this result as part of a larger structure."
P5.7-E01,P5.7,P5,1,Features of 1/(x-4).,"VA x=4, HA y=0, y-intercept -1/4."
P5.7-E02,P5.7,P5,2,Can HA be crossed?,Yes.
P5.7-E03,P5.7,P5,3,Can VA be crossed?,No.
P5.7-E04,P5.7,P5,4,Why selected points?,Set branch scale and orientation.
P5.7-E05,P5.7,P5,5,State the defining idea of complete rational graph construction in one precise sentence.,"A complete rational graph combines domain, holes, vertical and end asymptotes, intercepts, signs, and selected points."
P5.7-E06,P5.7,P5,6,State the condition that must be checked before using the method.,"A graph must not connect across an excluded input, and range claims may require algebra."
P5.7-E07,P5.7,P5,7,Describe the first invalid step in the common error.,A frequent error is omitting a hole or connecting branches across a vertical asymptote.
P5.7-E08,P5.7,P5,8,Explain how the result should be checked in another representation.,"Translate the answer into a graph, table, interval, mapping, equation, or context and verify that the same inputs, outputs, and restrictions appear."
P5.7-E09,P5.7,P5,9,Write one exact conclusion and one corresponding approximate conclusion.,"Keep the symbolic form exact, then report a rounded value with its stated precision only when numerical comparison is needed."
P5.7-E10,P5.7,P5,10,State how this lesson connects forward.,"The next lesson, Rational equations and function intersections, uses this result as part of a larger structure."
P5.8-E01,P5.8,P5,1,Solve 1/x=1/4.,x=4.
P5.8-E02,P5.8,P5,2,Solve 2/x=1/(x-3).,x=6.
P5.8-E03,P5.8,P5,3,X-intercept of (x-2)/(x+3).,x=2.
P5.8-E04,P5.8,P5,4,How find intersection y?,Substitute x into either original function.
P5.8-E05,P5.8,P5,5,State the defining idea of rational equations and function intersections in one precise sentence.,"Rational intersections satisfy f(x)=g(x), but denominator clearing creates candidates that must be checked in the original domains."
P5.8-E06,P5.8,P5,6,State the condition that must be checked before using the method.,An excluded candidate can arise because the clearing multiplier is zero where the original equation is undefined.
P5.8-E07,P5.8,P5,7,Describe the first invalid step in the common error.,A frequent error is accepting every solution of the cleared equation.
P5.8-E08,P5.8,P5,8,Explain how the result should be checked in another representation.,"Translate the answer into a graph, table, interval, mapping, equation, or context and verify that the same inputs, outputs, and restrictions appear."
P5.8-E09,P5.8,P5,9,Write one exact conclusion and one corresponding approximate conclusion.,"Keep the symbolic form exact, then report a rounded value with its stated precision only when numerical comparison is needed."
P5.8-E10,P5.8,P5,10,State how this lesson connects forward.,"The next lesson, Rational inequalities, uses this result as part of a larger structure."
P5.9-E01,P5.9,P5,1,Solve (x-2)/(x+5)<0.,"(-5,2)."
P5.9-E02,P5.9,P5,2,Solve 1/x<0.,"(-∞,0)."
P5.9-E03,P5.9,P5,3,Which endpoints may be included?,Allowed numerator zeros.
P5.9-E04,P5.9,P5,4,Which always excluded?,Denominator zeros.
P5.9-E05,P5.9,P5,5,State the defining idea of rational inequalities in one precise sentence.,Rational inequalities are solved by critical-value sign intervals rather than unsafe cross multiplication.
P5.9-E06,P5.9,P5,6,State the condition that must be checked before using the method.,Allowed numerator zeros may be included for non-strict inequalities; denominator zeros never are.
P5.9-E07,P5.9,P5,7,Describe the first invalid step in the common error.,A frequent error is multiplying by a denominator whose sign changes across the domain.
P5.9-E08,P5.9,P5,8,Explain how the result should be checked in another representation.,"Translate the answer into a graph, table, interval, mapping, equation, or context and verify that the same inputs, outputs, and restrictions appear."
P5.9-E09,P5.9,P5,9,Write one exact conclusion and one corresponding approximate conclusion.,"Keep the symbolic form exact, then report a rounded value with its stated precision only when numerical comparison is needed."
P5.9-E10,P5.9,P5,10,State how this lesson connects forward.,"The next lesson, Variation and rational models, uses this result as part of a larger structure."
P5.10-E01,P5.10,P5,1,Direct y=14 at x=2.,y=7x.
P5.10-E02,P5.10,P5,2,Inverse y=3 at x=10.,y=30/x.
P5.10-E03,P5.10,P5,3,If x doubles in k/x.,y halves.
P5.10-E04,P5.10,P5,4,Why x=0 excluded?,Division by zero.
P5.10-E05,P5.10,P5,5,State the defining idea of variation and rational models in one precise sentence.,"Variation language describes direct, inverse, joint, and combined proportional structure."
P5.10-E06,P5.10,P5,6,State the condition that must be checked before using the method.,Inverse models exclude zero and often use positive contextual domains. Inverse variation is not an inverse function.
P5.10-E07,P5.10,P5,7,Describe the first invalid step in the common error.,A frequent error is placing a factor in the numerator or denominator contrary to the wording.
P5.10-E08,P5.10,P5,8,Explain how the result should be checked in another representation.,"Translate the answer into a graph, table, interval, mapping, equation, or context and verify that the same inputs, outputs, and restrictions appear."
P5.10-E09,P5.10,P5,9,Write one exact conclusion and one corresponding approximate conclusion.,"Keep the symbolic form exact, then report a rounded value with its stated precision only when numerical comparison is needed."
P5.10-E10,P5.10,P5,10,State how this lesson connects forward.,"The next lesson, Partial-fraction structure, uses this result as part of a larger structure."
P5.11-E01,P5.11,P5,1,Form for 1/[(x-1)(x+3)].,A/(x-1)+B/(x+3).
P5.11-E02,P5.11,P5,2,Is (x^2+1)/(x-1) proper?,No.
P5.11-E03,P5.11,P5,3,What first if improper?,Polynomial division.
P5.11-E04,P5.11,P5,4,Can decomposition restore exclusions?,No.
P5.11-E05,P5.11,P5,5,State the defining idea of partial-fraction structure in one precise sentence.,Partial fractions rewrite a proper rational function as a sum of simpler components determined by denominator factors.
P5.11-E06,P5.11,P5,6,State the condition that must be checked before using the method.,Repeated linear factors need every power; irreducible quadratics need a linear numerator.
P5.11-E07,P5.11,P5,7,Describe the first invalid step in the common error.,A frequent error is omitting a repeated-power term.
P5.11-E08,P5.11,P5,8,Explain how the result should be checked in another representation.,"Translate the answer into a graph, table, interval, mapping, equation, or context and verify that the same inputs, outputs, and restrictions appear."
P5.11-E09,P5.11,P5,9,Write one exact conclusion and one corresponding approximate conclusion.,"Keep the symbolic form exact, then report a rounded value with its stated precision only when numerical comparison is needed."
P5.11-E10,P5.11,P5,10,State how this lesson connects forward.,"The next lesson, Additive versus multiplicative change, uses this result as part of a larger structure."
P6.1-E01,P6.1,P6,1,"Classify 3,8,13,18.",Linear.
P6.1-E02,P6.1,P6,2,"Classify 2,6,18,54.",Exponential.
P6.1-E03,P6.1,P6,3,Multiplier for 7% growth.,1.07.
P6.1-E04,P6.1,P6,4,Multiplier for 18% decay.,0.82.
P6.1-E05,P6.1,P6,5,State the defining idea of additive versus multiplicative change in one precise sentence.,Constant first differences indicate additive linear change; constant ratios indicate multiplicative exponential change.
P6.1-E06,P6.1,P6,6,State the condition that must be checked before using the method.,Noisy data suggest a candidate family rather than proving one.
P6.1-E07,P6.1,P6,7,Describe the first invalid step in the common error.,A frequent error is treating a constant percentage as a constant absolute amount.
P6.1-E08,P6.1,P6,8,Explain how the result should be checked in another representation.,"Translate the answer into a graph, table, interval, mapping, equation, or context and verify that the same inputs, outputs, and restrictions appear."
P6.1-E09,P6.1,P6,9,Write one exact conclusion and one corresponding approximate conclusion.,"Keep the symbolic form exact, then report a rounded value with its stated precision only when numerical comparison is needed."
P6.1-E10,P6.1,P6,10,State how this lesson connects forward.,"The next lesson, Exponential functions and parameters, uses this result as part of a larger structure."
P6.2-E01,P6.2,P6,1,Rate for base 1.18.,18% growth.
P6.2-E02,P6.2,P6,2,Rate for base 0.64.,36% decay.
P6.2-E03,P6.2,P6,3,Domain of 5(0.4)^x.,All real numbers.
P6.2-E04,P6.2,P6,4,Y-intercept of ab^x.,"(0,a)."
P6.2-E05,P6.2,P6,5,State the defining idea of exponential functions and parameters in one precise sentence.,"In f(x)=ab^x, a is f(0) and b is the one-step output multiplier."
P6.2-E06,P6.2,P6,6,State the condition that must be checked before using the method.,The real continuous exponential base is positive and not 1.
P6.2-E07,P6.2,P6,7,Describe the first invalid step in the common error.,A frequent error is calling b itself the percentage rate.
P6.2-E08,P6.2,P6,8,Explain how the result should be checked in another representation.,"Translate the answer into a graph, table, interval, mapping, equation, or context and verify that the same inputs, outputs, and restrictions appear."
P6.2-E09,P6.2,P6,9,Write one exact conclusion and one corresponding approximate conclusion.,"Keep the symbolic form exact, then report a rounded value with its stated precision only when numerical comparison is needed."
P6.2-E10,P6.2,P6,10,State how this lesson connects forward.,"The next lesson, Exponential transformations, uses this result as part of a larger structure."
P6.3-E01,P6.3,P6,1,HA of 4^x+3.,y=3.
P6.3-E02,P6.3,P6,2,Range of -2^x+1.,"(-∞,1)."
P6.3-E03,P6.3,P6,3,Rewrite 9^(x/2).,3^x.
P6.3-E04,P6.3,P6,4,Does horizontal shift move HA?,No.
P6.3-E05,P6.3,P6,5,State the defining idea of exponential transformations in one precise sentence.,"Transformed exponentials use the general input-output mapping, with horizontal asymptote y=k."
P6.3-E06,P6.3,P6,6,State the condition that must be checked before using the method.,"In a b^{c(x-h)}+k, a is not necessarily f(0) after a horizontal shift."
P6.3-E07,P6.3,P6,7,Describe the first invalid step in the common error.,A frequent error is leaving the asymptote at zero after a vertical translation.
P6.3-E08,P6.3,P6,8,Explain how the result should be checked in another representation.,"Translate the answer into a graph, table, interval, mapping, equation, or context and verify that the same inputs, outputs, and restrictions appear."
P6.3-E09,P6.3,P6,9,Write one exact conclusion and one corresponding approximate conclusion.,"Keep the symbolic form exact, then report a rounded value with its stated precision only when numerical comparison is needed."
P6.3-E10,P6.3,P6,10,State how this lesson connects forward.,"The next lesson, Growth and decay models, uses this result as part of a larger structure."
P6.4-E01,P6.4,P6,1,1200 grows 6%.,1200(1.06)^t.
P6.4-E02,P6.4,P6,2,900 decays 4%.,900(0.96)^t.
P6.4-E03,P6.4,P6,3,50 doubles every 8 days.,50·2^(t/8).
P6.4-E04,P6.4,P6,4,After one half-life.,A0/2.
P6.4-E05,P6.4,P6,5,State the defining idea of growth and decay models in one precise sentence.,"Exponential models can be written from an initial value and rate, multiplier, doubling time, or half-life."
P6.4-E06,P6.4,P6,6,State the condition that must be checked before using the method.,Growth ignores resource limits and decay approaches zero without becoming negative.
P6.4-E07,P6.4,P6,7,Describe the first invalid step in the common error.,A frequent error is mixing time units or using 6 instead of 1.06 for 6 percent growth.
P6.4-E08,P6.4,P6,8,Explain how the result should be checked in another representation.,"Translate the answer into a graph, table, interval, mapping, equation, or context and verify that the same inputs, outputs, and restrictions appear."
P6.4-E09,P6.4,P6,9,Write one exact conclusion and one corresponding approximate conclusion.,"Keep the symbolic form exact, then report a rounded value with its stated precision only when numerical comparison is needed."
P6.4-E10,P6.4,P6,10,State how this lesson connects forward.,"The next lesson, Compound interest and effective rate, uses this result as part of a larger structure."
P6.5-E01,P6.5,P6,1,Formula at 5% annual.,P(1.05)^t.
P6.5-E02,P6.5,P6,2,Formula at 5% monthly.,P(1+0.05/12)^(12t).
P6.5-E03,P6.5,P6,3,Periods in 7 years monthly.,84.
P6.5-E04,P6.5,P6,4,Monthly rate from 9% nominal.,0.75%.
P6.5-E05,P6.5,P6,5,State the defining idea of compound interest and effective rate in one precise sentence.,"Periodic compounding uses A=P(1+r/n)^(nt), where r/n is the periodic rate and nt counts periods."
P6.5-E06,P6.5,P6,6,State the condition that must be checked before using the method.,"The simple model omits fees, deposits, withdrawals, taxes, and changing rates unless included explicitly."
P6.5-E07,P6.5,P6,7,Describe the first invalid step in the common error.,A frequent error is using r as the periodic rate or t as the number of periods.
P6.5-E08,P6.5,P6,8,Explain how the result should be checked in another representation.,"Translate the answer into a graph, table, interval, mapping, equation, or context and verify that the same inputs, outputs, and restrictions appear."
P6.5-E09,P6.5,P6,9,Write one exact conclusion and one corresponding approximate conclusion.,"Keep the symbolic form exact, then report a rounded value with its stated precision only when numerical comparison is needed."
P6.5-E10,P6.5,P6,10,State how this lesson connects forward.,"The next lesson, Continuous growth and the number e, uses this result as part of a larger structure."
P6.6-E01,P6.6,P6,1,"Model initial 900,k=0.04.",900e^(0.04t).
P6.6-E02,P6.6,P6,2,Initial value of 7e^(3t).,7.
P6.6-E03,P6.6,P6,3,Approximate e.,2.71828.
P6.6-E04,P6.6,P6,4,Continuous compound formula.,Pe^(rt).
P6.6-E05,P6.6,P6,5,State the defining idea of continuous growth and the number e in one precise sentence.,The number e arises from the limit of increasingly frequent proportional compounding.
P6.6-E06,P6.6,P6,6,State the condition that must be checked before using the method.,"k is a continuous rate parameter, not exactly the ordinary percent change."
P6.6-E07,P6.6,P6,7,Describe the first invalid step in the common error.,A frequent error is interpreting k=0.06 as exactly 6 percent effective growth.
P6.6-E08,P6.6,P6,8,Explain how the result should be checked in another representation.,"Translate the answer into a graph, table, interval, mapping, equation, or context and verify that the same inputs, outputs, and restrictions appear."
P6.6-E09,P6.6,P6,9,Write one exact conclusion and one corresponding approximate conclusion.,"Keep the symbolic form exact, then report a rounded value with its stated precision only when numerical comparison is needed."
P6.6-E10,P6.6,P6,10,State how this lesson connects forward.,"The next lesson, Exponential regression and residuals, uses this result as part of a larger structure."
P6.7-E01,P6.7,P6,1,"Residual observed 20,predicted 22.5.",-2.5.
P6.7-E02,P6.7,P6,2,Interpret b=0.81.,19% decay.
P6.7-E03,P6.7,P6,3,Good residual pattern.,Small and patternless.
P6.7-E04,P6.7,P6,4,Can high R-squared prove causation?,No.
P6.7-E05,P6.7,P6,5,State the defining idea of exponential regression and residuals in one precise sentence.,"Exponential regression estimates a repeated-change model from imperfect data, and residuals measure observed minus predicted output."
P6.7-E06,P6.7,P6,6,State the condition that must be checked before using the method.,A high fit statistic does not prove causation or indefinite model validity.
P6.7-E07,P6.7,P6,7,Describe the first invalid step in the common error.,A frequent error is treating a regression formula as an exact law.
P6.7-E08,P6.7,P6,8,Explain how the result should be checked in another representation.,"Translate the answer into a graph, table, interval, mapping, equation, or context and verify that the same inputs, outputs, and restrictions appear."
P6.7-E09,P6.7,P6,9,Write one exact conclusion and one corresponding approximate conclusion.,"Keep the symbolic form exact, then report a rounded value with its stated precision only when numerical comparison is needed."
P6.7-E10,P6.7,P6,10,State how this lesson connects forward.,"The next lesson, Logistic and bounded growth, uses this result as part of a larger structure."
P6.8-E01,P6.8,P6,1,Meaning of K.,Carrying capacity.
P6.8-E02,P6.8,P6,2,Output at inflection.,K/2.
P6.8-E03,P6.8,P6,3,P(0) for 900/[1+8e^-t].,100.
P6.8-E04,P6.8,P6,4,Can standard model exceed K?,No.
P6.8-E05,P6.8,P6,5,State the defining idea of logistic and bounded growth in one precise sentence.,A logistic model grows rapidly at first and then slows toward a carrying capacity K.
P6.8-E06,P6.8,P6,6,State the condition that must be checked before using the method.,A fitted carrying capacity is an estimate and may change with the environment.
P6.8-E07,P6.8,P6,7,Describe the first invalid step in the common error.,A frequent error is estimating K from early data that never show the upper bend.
P6.8-E08,P6.8,P6,8,Explain how the result should be checked in another representation.,"Translate the answer into a graph, table, interval, mapping, equation, or context and verify that the same inputs, outputs, and restrictions appear."
P6.8-E09,P6.8,P6,9,Write one exact conclusion and one corresponding approximate conclusion.,"Keep the symbolic form exact, then report a rounded value with its stated precision only when numerical comparison is needed."
P6.8-E10,P6.8,P6,10,State how this lesson connects forward.,"The next lesson, Logarithms as inverse functions, uses this result as part of a larger structure."
P6.9-E01,P6.9,P6,1,log_10(1000).,3.
P6.9-E02,P6.9,P6,2,log_2(1).,0.
P6.9-E03,P6.9,P6,3,Domain of log_b x.,"(0,∞)."
P6.9-E04,P6.9,P6,4,Vertical asymptote.,x=0.
P6.9-E05,P6.9,P6,5,State the defining idea of logarithms as inverse functions in one precise sentence.,log_b(y)=x exactly when b^x=y; a logarithm is the exponent needed to produce a positive output.
P6.9-E06,P6.9,P6,6,State the condition that must be checked before using the method.,"b>0, b≠1, and the logarithm argument is positive."
P6.9-E07,P6.9,P6,7,Describe the first invalid step in the common error.,"A frequent error is confusing base, exponent, and output positions."
P6.9-E08,P6.9,P6,8,Explain how the result should be checked in another representation.,"Translate the answer into a graph, table, interval, mapping, equation, or context and verify that the same inputs, outputs, and restrictions appear."
P6.9-E09,P6.9,P6,9,Write one exact conclusion and one corresponding approximate conclusion.,"Keep the symbolic form exact, then report a rounded value with its stated precision only when numerical comparison is needed."
P6.9-E10,P6.9,P6,10,State how this lesson connects forward.,"The next lesson, Logarithmic graphs and transformations, uses this result as part of a larger structure."
P6.10-E01,P6.10,P6,1,Domain ln(x-7).,x>7.
P6.10-E02,P6.10,P6,2,VA log_2(x+4).,x=-4.
P6.10-E03,P6.10,P6,3,X-intercept log_3(x-2).,x=3.
P6.10-E04,P6.10,P6,4,Range of 4lnx+8.,All real numbers.
P6.10-E05,P6.10,P6,5,State the defining idea of logarithmic graphs and transformations in one precise sentence.,A transformed logarithm has a vertical input boundary where its argument equals zero.
P6.10-E06,P6.10,P6,6,State the condition that must be checked before using the method.,A negative inside coefficient places the domain on the opposite side of the asymptote.
P6.10-E07,P6.10,P6,7,Describe the first invalid step in the common error.,A frequent error is choosing the wrong side of the domain boundary.
P6.10-E08,P6.10,P6,8,Explain how the result should be checked in another representation.,"Translate the answer into a graph, table, interval, mapping, equation, or context and verify that the same inputs, outputs, and restrictions appear."
P6.10-E09,P6.10,P6,9,Write one exact conclusion and one corresponding approximate conclusion.,"Keep the symbolic form exact, then report a rounded value with its stated precision only when numerical comparison is needed."
P6.10-E10,P6.10,P6,10,State how this lesson connects forward.,"The next lesson, Logarithm laws, uses this result as part of a larger structure."
P6.11-E01,P6.11,P6,1,Expand log_b(xy).,log_bx+log_by.
P6.11-E02,P6.11,P6,2,Expand log_b(x/y).,log_bx-log_by.
P6.11-E03,P6.11,P6,3,Condense 3lnx-lny.,ln(x^3/y).
P6.11-E04,P6.11,P6,4,Is log(x+2)=logx+log2?,No.
P6.11-E05,P6.11,P6,5,State the defining idea of logarithm laws in one precise sentence.,"Logarithm laws convert products to sums, quotients to differences, and powers to coefficients."
P6.11-E06,P6.11,P6,6,State the condition that must be checked before using the method.,No law separates a logarithm of a sum or difference.
P6.11-E07,P6.11,P6,7,Describe the first invalid step in the common error.,A frequent error is writing log(x+y)=logx+logy.
P6.11-E08,P6.11,P6,8,Explain how the result should be checked in another representation.,"Translate the answer into a graph, table, interval, mapping, equation, or context and verify that the same inputs, outputs, and restrictions appear."
P6.11-E09,P6.11,P6,9,Write one exact conclusion and one corresponding approximate conclusion.,"Keep the symbolic form exact, then report a rounded value with its stated precision only when numerical comparison is needed."
